ParticipantID,SemanticCategory,Phase,FixationCount_mean,FixationCount_std,FixationDuration_mean,FixationDuration_std
Participant110,Literal,Pre,6.0,8.48528137423857,483.005,683.0722216940168
Participant110,LoopBody,Post,40.0,64.96922348312314,655.1566666666666,446.2188383891174
Participant110,LoopBody,Pre,170.66666666666666,272.4230778280969,681.0166666666667,450.035781281148
Participant110,LoopStatement,Post,0.3333333333333333,0.5773502691896258,395.01,684.1773894977822
Participant110,LoopStatement,Pre,15.666666666666666,26.27419519858474,339.34999999999997,426.2682747988642
Participant110,MethodCall,Post,7.333333333333333,9.451631252505218,1059.7433333333333,1147.3687390866692
Participant110,MethodCall,Pre,30.333333333333332,45.70922591045853,1607.1200000000001,2015.0139821847392
Participant110,MethodDeclaration,Post,0.0,0.0,0.0,0.0
Participant110,MethodDeclaration,Pre,0.3333333333333333,0.5773502691896258,77.86,134.8574758773128
Participant110,Operator,Post,0.0,,0.0,
Participant110,Operator,Pre,0.0,,0.0,
Participant110,Parameter,Post,0.0,0.0,0.0,0.0
Participant110,Parameter,Pre,0.0,0.0,0.0,0.0
Participant110,Summary,Post,246.33333333333334,75.79138033664074,342.9166666666667,17.67444860054574
Participant110,Summary,Pre,237.0,102.05880657738459,385.50333333333333,38.017654232387
Participant110,VariableName,Post,0.3333333333333333,0.5773502691896258,111.22666666666667,192.65023782319435
Participant110,VariableName,Pre,8.333333333333334,10.214368964029708,810.9466666666667,659.9000398040095
Participant120,Argument,Post,1.6666666666666667,2.886751345948129,115.36666666666667,199.8209281665295
Participant120,Argument,Pre,9.0,11.532562594670797,399.60999999999996,378.99999907651716
Participant120,Assignment,Post,3.0,,892.58,
Participant120,Assignment,Pre,23.0,,835.74,
Participant120,Code,Post,68.66666666666667,59.53430383680768,195.54999999999998,25.93413387796092
Participant120,Code,Pre,315.6666666666667,201.27178971066297,215.63333333333333,6.806660953311329
Participant120,ConditionalBody,Post,60.5,48.79036790187178,603.49,595.6808946071715
Participant120,ConditionalBody,Pre,265.5,159.0990257669732,800.76,848.4432846101147
Participant120,ConditionalStatement,Post,23.333333333333332,18.903262505010435,696.79,481.69362036464634
Participant120,ConditionalStatement,Pre,124.33333333333333,102.25621415509833,826.1966666666667,540.1595064731652
Participant120,ExceptionHandling,Post,13.0,,181.0,
Participant120,ExceptionHandling,Pre,83.0,,179.71,
Participant120,ExternalVarOrMethod,Post,0.0,,0.0,
