Source,SS,DF1,DF2,MS,F,p-unc,np2,eps,Category,DV,p-corrected
Experience,3900.58126833161,1,21,3900.58126833161,0.7315775024939579,0.4020259129039816,0.033664261253468636,,ConditionalStatement,FixationCount_mean,0.862094163071392
Phase,23130.266304347824,1,21,23130.266304347824,13.868034653070778,0.0012545451383455216,0.397729174903451,1.0,ConditionalStatement,FixationCount_mean,0.006810387893875689
Interaction,71.5550002156815,1,21,71.5550002156815,0.042901677375198614,0.8379057971657943,0.0020387719352091744,,ConditionalStatement,FixationCount_mean,0.9810580015206373
Experience,368.13660037878765,1,20,368.13660037878765,0.15108976261287962,0.7016032485247643,0.007497845743965793,,ExceptionHandling,FixationCount_mean,0.9581884848730722
Phase,36053.187500000015,1,20,36053.187500000015,19.627941114860988,0.00025734099106565966,0.4953055990965995,1.0,ExceptionHandling,FixationCount_mean,0.0017256984106756002
Interaction,10.341145833328483,1,20,10.341145833328483,0.005629887828274863,0.9409342352682348,0.00028141517462042877,,ExceptionHandling,FixationCount_mean,0.9915808996695675
Experience,775.621312111803,1,21,775.621312111803,0.11013589020382503,0.7432788908340489,0.0052172042272325535,,Gemini,FixationCount_mean,0.9581884848730722
Phase,398660.40821256035,1,21,398660.40821256035,84.58161581478298,8.219874506296128e-09,0.801101736908068,1.0,Gemini,FixationCount_mean,4.685328468588793e-07
Interaction,18986.54764061421,1,21,18986.54764061421,4.028272798364402,0.05778775876406764,0.16094889291072656,,Gemini,FixationCount_mean,0.1937589558559915
Experience,25.37619047619045,1,18,25.37619047619045,0.08138431908232437,0.7786867655203509,0.0045010004569414975,,IndexOperation,FixationCount_mean,0.9581884848730722
Phase,4080.4000000000005,1,18,4080.4000000000005,18.08079432158536,0.0004793681468868606,0.5011196305833132,1.0,IndexOperation,FixationCount_mean,0.003035998263616784
Interaction,112.93333333333248,1,18,112.93333333333248,0.5004225987773316,0.48837313112434944,0.02704925231331764,,IndexOperation,FixationCount_mean,0.8837228087012037
Experience,122.89506257631253,1,18,122.89506257631253,1.8214066189545632,0.1938764954669487,0.09189088614996736,,Literal,FixationCount_mean,0.5262362019817179
Phase,1478.2506944444442,1,18,1478.2506944444442,20.835197553110703,0.00024027058055534731,0.5365029371774575,1.0,Literal,FixationCount_mean,0.0017256984106756002
Interaction,96.33553876678889,1,18,96.33553876678889,1.357800804109032,0.25912912852872955,0.07014230685857739,,Literal,FixationCount_mean,0.6535140192621811
Experience,5808.360119047626,1,19,5808.360119047626,1.0467040747522638,0.31911792035793224,0.05221327510244095,,LoopBody,FixationCount_mean,0.7740307004426441
Phase,222554.455026455,1,19,222554.455026455,43.63285498072816,2.5425235637530418e-06,0.6966448359116599,1.0,LoopBody,FixationCount_mean,4.140681232397811e-05
Interaction,9710.833664021164,1,19,9710.833664021164,1.9038549327347416,0.183670227327838,0.09107673866188996,,LoopBody,FixationCount_mean,0.5130241798213153
Experience,869.8930512422368,1,21,869.8930512422368,0.5835237063609263,0.4534322495577692,0.02703560893483555,,LoopStatement,FixationCount_mean,0.87936823019253
Phase,11605.951690821255,1,21,11605.951690821255,28.4897079083468,2.712988760537519e-05,0.5756693484857243,1.0,LoopStatement,FixationCount_mean,0.00025773393225106433
Interaction,0.09394409937522141,1,21,0.09394409937522141,0.0002306092617143553,0.9880272828148348,1.098127282529221e-05,,LoopStatement,FixationCount_mean,0.9915808996695675
Experience,508.3468124568671,1,21,508.3468124568671,0.40755607524812454,0.5301138168234383,0.019037954347313358,,MethodCall,FixationCount_mean,0.9319817495765675
Phase,9025.33574879227,1,21,9025.33574879227,50.430818988826154,5.262565169269678e-07,0.7060092506669284,1.0,MethodCall,FixationCount_mean,1.2669581867961408e-05
Interaction,1.0724853347346652,1,21,1.0724853347346652,0.005992720413909491,0.9390281107874439,0.00028528622730054,,MethodCall,FixationCount_mean,0.9915808996695675
Experience,79.2135147084197,1,21,79.2135147084197,0.5129979031543626,0.48173368536167416,0.02384595143195472,,MethodDeclaration,FixationCount_mean,0.8837228087012037
Phase,2422.7107487922713,1,21,2422.7107487922713,21.644792849678446,0.00013671202142589298,0.5075600419956467,1.0,MethodDeclaration,FixationCount_mean,0.0011132264601822713
Interaction,8.819881168045868,1,21,8.819881168045868,0.07879789237584357,0.7816800797648746,0.003738253612856386,,MethodDeclaration,FixationCount_mean,0.9581884848730722
Experience,0.75,1,1,0.75,0.3333333333333333,0.6666666666666666,0.25,,Operator,FixationCount_mean,0.9581884848730722
Phase,1.5,1,1,1.5,0.6666666666666666,0.5640942168489751,0.4,1.0,Operator,FixationCount_mean,0.9319817495765675
Interaction,0.75,1,1,0.75,0.3333333333333333,0.6666666666666666,0.25,,Operator,FixationCount_mean,0.9581884848730722
Experience,13.239135826432012,1,21,13.239135826432012,0.6050959456084186,0.4453163300159326,0.02800709365659698,,Parameter,FixationCount_mean,0.87936823019253
Phase,257.49335748792276,1,21,257.49335748792276,12.27506048311365,0.0021144260575433884,0.3688967143829226,1.0,Parameter,FixationCount_mean,0.009270945021536395
Interaction,11.226756599378405,1,21,11.226756599378405,0.535194840096133,0.47251640212944845,0.024852101133520273,,Parameter,FixationCount_mean,0.8830634400451988
Experience,0.25128205128205333,1,11,0.25128205128205333,0.0006865402447598824,0.979565595349753,6.240885441542699e-05,,Return,FixationCount_mean,0.9915808996695675
Phase,2660.346153846154,1,11,2660.346153846154,15.36050374023218,0.0023959330722599956,0.5827090366557951,1.0,Return,FixationCount_mean,0.010116161860653314
Interaction,4.020512820510703,1,11,4.020512820510703,0.023213934821159164,0.8816607563678541,0.002105913480262668,,Return,FixationCount_mean,0.9854843566438473
Experience,4319.033649283988,1,21,4319.033649283988,0.37742512376278836,0.5455835830219675,0.01765531262898678,,Summary,FixationCount_mean,0.9319817495765675
Phase,60133.11654589369,1,21,60133.11654589369,13.42078096918681,0.001448527824742981,0.3899034417958436,1.0,Summary,FixationCount_mean,0.00750600781912272
Interaction,6222.851584066637,1,21,6222.851584066637,1.3888441662553168,0.2517821186717919,0.06203286583005461,,Summary,FixationCount_mean,0.6523445801950972
Experience,150.5953728864735,1,21,150.5953728864735,0.5601778170689509,0.4624894899039359,0.025982059230766845,,VariableName,FixationCount_mean,0.87936823019253
Phase,8936.841183574878,1,21,8936.841183574878,36.34593862810391,5.538130765839649e-06,0.6338014425714118,1.0,VariableName,FixationCount_mean,7.8918363413215e-05
Interaction,20.522779718772654,1,21,20.522779718772654,0.08346569854094987,0.7754872978265162,0.0039588225073796095,,VariableName,FixationCount_mean,0.9581884848730722
Experience,29.24768518518519,1,19,29.24768518518519,0.11537653751677916,0.7378301341901687,0.006035797269822831,,ExternalVarOrMethod,FixationCount_mean,0.9581884848730722
Phase,1490.0800264550262,1,19,1490.0800264550262,5.635964836345315,0.028290585915924753,0.2287698035690733,1.0,ExternalVarOrMethod,FixationCount_mean,0.10078521232548193
Interaction,33.62228835978567,1,19,33.62228835978567,0.12717037444225737,0.725313760879385,0.006648676827398502,,ExternalVarOrMethod,FixationCount_mean,0.9581884848730722
